[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 07:25:33 ]AAAA :28 [°C], 66.60 RH, 923.17 mbar
[ 07:25:38 ]DADE :26 [°C], 69.81 RH, 923.80 mbar
[ 07:25:38 ]AAAA :28 [°C], 66.61 RH, 922.53 mbar
[ 07:25:43 ]DADE :26 [°C], 69.75 RH, 923.80 mbar
[ 07:25:48 ]DADE :26 [°C], 69.55 RH, 925.71 mbar
[ 07:25:53 ]DADE :26 [°C], 69.45 RH, 922.53 mbar
[ 07:26:03 ]DADE :27 [°C], 69.50 RH, 922.53 mbar
[ 07:26:08 ]DADE :27 [°C], 69.40 RH, 923.80 mbar
[ 07:26:13 ]DADE :27 [°C], 69.14 RH, 924.44 mbar
[ 07:26:18 ]DADE :27 [°C], 69.02 RH, 925.07 mbar
[ 07:28:32 ]AAAA :29 [°C], 65.58 RH, 922.53 mbar
[ 07:28:32 ]DADE :27 [°C], 68.39 RH, 924.44 mbar
[ 07:28:42 ]AAAA :29 [°C], 65.91 RH, 923.17 mbar
[ 07:28:42 ]AAAA :29 [°C], 65.91 RH, 923.17 mbar
[ 07:28:42 ]DADE :27 [°C], 68.58 RH, 924.44 mbar
[ 07:28:47 ]DADE :27 [°C], 68.68 RH, 924.44 mbar
[ 07:28:52 ]AAAA :29 [°C], 66.08 RH, 923.17 mbar
[ 07:28:52 ]DADE :27 [°C], 68.65 RH, 923.80 mbar
[ 07:28:57 ]AAAA :29 [°C], 66.08 RH, 923.17 mbar
[ 07:28:58 ]DADE :27 [°C], 68.58 RH, 924.44 mbar
[ 07:29:03 ]DADE :27 [°C], 68.52 RH, 923.80 mbar
[ 07:29:03 ]AAAA :29 [°C], 65.91 RH, 923.17 mbar
[ 07:29:18 ]DADE :27 [°C], 68.49 RH, 925.07 mbar
[ 07:29:28 ]DADE :27 [°C], 68.51 RH, 922.53 mbar
[ 07:29:33 ]DADE :27 [°C], 68.21 RH, 924.44 mbar
[ 07:29:38 ]DADE :27 [°C], 67.92 RH, 924.44 mbar
[ 07:31:26 ]AAAA :29 [°C], 64.61 RH, 923.80 mbar
[ 07:31:26 ]AAAA :29 [°C], 64.61 RH, 923.80 mbar
[ 07:31:26 ]DADE :28 [°C], 66.98 RH, 925.07 mbar
[ 07:31:31 ]AAAA :29 [°C], 64.55 RH, 924.44 mbar
[ 07:31:31 ]DADE :28 [°C], 66.94 RH, 924.44 mbar
[ 07:31:41 ]DADE :28 [°C], 66.91 RH, 925.71 mbar
[ 07:31:41 ]AAAA :29 [°C], 64.61 RH, 923.80 mbar
[ 07:31:46 ]AAAA :29 [°C], 64.55 RH, 923.80 mbar
[ 07:31:46 ]DADE :28 [°C], 66.91 RH, 925.71 mbar
[ 07:31:56 ]DADE :28 [°C], 66.78 RH, 924.44 mbar
[ 07:31:57 ]AAAA :29 [°C], 64.46 RH, 923.80 mbar
[ 07:32:02 ]DADE :28 [°C], 66.72 RH, 925.07 mbar
[ 07:32:17 ]AAAA :30 [°C], 64.43 RH, 924.44 mbar
[ 07:32:17 ]DADE :28 [°C], 66.65 RH, 924.44 mbar
[ 07:32:22 ]AAAA :30 [°C], 64.37 RH, 923.80 mbar
[ 07:32:22 ]DADE :28 [°C], 66.69 RH, 925.07 mbar
[ 07:32:32 ]DADE :28 [°C], 66.66 RH, 925.07 mbar
[ 07:32:37 ]DADE :28 [°C], 66.48 RH, 923.17 mbar
[ 07:32:42 ]DADE :28 [°C], 66.36 RH, 925.07 mbar
[ 07:32:47 ]DADE :28 [°C], 66.40 RH, 925.07 mbar
[ 07:32:52 ]DADE :28 [°C], 66.62 RH, 923.80 mbar
[ 07:32:57 ]DADE :28 [°C], 66.51 RH, 925.07 mbar
[ 07:33:07 ]DADE :28 [°C], 66.45 RH, 925.07 mbar
[ 07:33:35 ]DADE :28 [°C], 66.24 RH, 923.80 mbar
[ 07:33:46 ]DADE :28 [°C], 66.18 RH, 923.80 mbar
[ 07:33:51 ]DADE :28 [°C], 66.15 RH, 922.53 mbar
[ 07:33:56 ]DADE :28 [°C], 66.13 RH, 925.07 mbar
[ 08:15:01 ]DAD3 :26 [°C], 74.94 RH, 923.80 mbar
[ 08:15:21 ]DAD3 :27 [°C], 74.21 RH, 923.17 mbar
[ 08:15:31 ]DAD3 :27 [°C], 74.31 RH, 921.90 mbar
[ 08:15:36 ]DAD3 :27 [°C], 74.28 RH, 923.17 mbar
[ 08:15:41 ]DAD3 :27 [°C], 74.09 RH, 923.80 mbar
[ 08:15:41 ]DADE :31 [°C], 63.82 RH, 925.07 mbar
[ 08:15:46 ]DAD3 :27 [°C], 74.02 RH, 923.80 mbar
[ 08:15:46 ]DADE :31 [°C], 63.25 RH, 922.53 mbar
[ 08:15:46 ]AAAA :31 [°C], 66.65 RH, 922.53 mbar
[ 08:15:47 ]CAC2 :28 [°C], 70.26 RH, 923.17 mbar
[ 08:15:51 ]CAC2 :28 [°C], 69.26 RH, 923.17 mbar
[ 08:15:51 ]DAD3 :27 [°C], 73.90 RH, 923.80 mbar
[ 08:15:52 ]DADE :31 [°C], 62.89 RH, 923.17 mbar
[ 08:15:56 ]CAC2 :28 [°C], 68.39 RH, 923.80 mbar
[ 08:15:56 ]BAB1 :28 [°C], 72.04 RH, 922.53 mbar
[ 08:15:57 ]AAAA :30 [°C], 66.49 RH, 922.53 mbar
[ 08:15:57 ]DAD3 :27 [°C], 73.90 RH, 923.80 mbar
[ 08:16:01 ]DAD3 :27 [°C], 73.25 RH, 923.80 mbar
[ 08:16:02 ]BAB1 :28 [°C], 71.75 RH, 921.90 mbar
[ 08:16:02 ]DADE :31 [°C], 62.28 RH, 923.80 mbar
[ 08:16:02 ]CAC2 :28 [°C], 68.26 RH, 923.80 mbar
[ 08:16:02 ]DAD3 :27 [°C], 73.22 RH, 923.80 mbar
[ 08:16:02 ]BAB1 :28 [°C], 71.81 RH, 922.53 mbar
[ 08:16:07 ]DAD3 :27 [°C], 73.10 RH, 923.80 mbar
[ 08:16:07 ]CAC2 :28 [°C], 68.96 RH, 921.90 mbar
[ 08:16:07 ]BAB1 :28 [°C], 71.98 RH, 922.53 mbar
[ 08:16:07 ]AAAA :30 [°C], 67.20 RH, 923.17 mbar
[ 08:16:07 ]DADE :31 [°C], 61.80 RH, 922.53 mbar
[ 08:16:12 ]DAD3 :27 [°C], 72.97 RH, 923.80 mbar
[ 08:16:12 ]AAAA :30 [°C], 67.22 RH, 925.07 mbar
[ 08:16:12 ]DADE :31 [°C], 61.38 RH, 924.44 mbar
[ 08:16:12 ]BAB1 :28 [°C], 71.93 RH, 922.53 mbar
[ 08:16:12 ]CAC2 :28 [°C], 67.83 RH, 923.80 mbar
[ 08:16:17 ]DAD3 :27 [°C], 72.87 RH, 924.44 mbar
[ 08:16:17 ]DADE :32 [°C], 61.18 RH, 927.61 mbar
[ 08:16:17 ]CAC2 :28 [°C], 67.83 RH, 923.17 mbar
[ 08:16:17 ]BAB1 :28 [°C], 71.55 RH, 922.53 mbar
[ 08:16:22 ]DAD3 :27 [°C], 72.75 RH, 924.44 mbar
[ 08:16:22 ]DAD3 :27 [°C], 72.75 RH, 924.44 mbar
[ 08:16:22 ]CAC2 :28 [°C], 68.42 RH, 923.17 mbar
[ 08:16:22 ]BAB1 :28 [°C], 71.27 RH, 922.53 mbar
[ 08:16:22 ]AAAA :30 [°C], 67.25 RH, 923.17 mbar
[ 08:16:27 ]AAAA :30 [°C], 67.36 RH, 925.07 mbar
[ 08:16:27 ]DAD3 :27 [°C], 72.46 RH, 922.53 mbar
[ 08:16:27 ]DADE :32 [°C], 60.77 RH, 923.17 mbar
[ 08:16:27 ]CAC2 :28 [°C], 68.46 RH, 923.80 mbar
[ 08:16:27 ]BAB1 :28 [°C], 71.13 RH, 922.53 mbar
[ 08:16:32 ]DAD3 :27 [°C], 72.14 RH, 924.44 mbar
[ 08:16:32 ]DADE :32 [°C], 61.03 RH, 927.61 mbar
[ 08:16:32 ]CAC2 :28 [°C], 67.94 RH, 923.80 mbar
[ 08:16:32 ]AAAA :29 [°C], 67.22 RH, 922.53 mbar
[ 08:16:42 ]DAD3 :27 [°C], 72.10 RH, 923.17 mbar
[ 08:16:42 ]CAC2 :28 [°C], 68.50 RH, 923.80 mbar
[ 08:16:42 ]DADE :32 [°C], 60.91 RH, 921.90 mbar
[ 08:16:42 ]BAB1 :28 [°C], 70.55 RH, 922.53 mbar
[ 08:16:42 ]DAD3 :27 [°C], 72.10 RH, 923.17 mbar
[ 08:16:52 ]CAC2 :28 [°C], 68.64 RH, 924.44 mbar
[ 08:16:52 ]DAD3 :27 [°C], 72.49 RH, 923.17 mbar
[ 08:16:52 ]CAC2 :28 [°C], 68.68 RH, 923.17 mbar
[ 08:16:52 ]DADE :32 [°C], 61.41 RH, 923.17 mbar
[ 08:16:52 ]BAB1 :28 [°C], 70.44 RH, 921.26 mbar
[ 08:16:52 ]AAAA :29 [°C], 68.49 RH, 923.80 mbar
[ 08:17:12 ]CAC2 :28 [°C], 68.03 RH, 923.80 mbar
[ 08:17:12 ]DADE :31 [°C], 61.96 RH, 927.61 mbar
[ 08:17:12 ]BAB1 :28 [°C], 70.02 RH, 922.53 mbar
[ 08:17:12 ]DAD3 :27 [°C], 72.07 RH, 923.80 mbar
[ 08:17:17 ]DADE :31 [°C], 62.10 RH, 927.61 mbar
[ 08:17:17 ]DAD3 :27 [°C], 72.30 RH, 924.44 mbar
[ 08:17:17 ]CAC2 :28 [°C], 68.17 RH, 923.80 mbar
[ 08:17:17 ]AAAA :29 [°C], 68.75 RH, 924.44 mbar
[ 08:17:17 ]AAAA :29 [°C], 68.75 RH, 923.17 mbar
[ 08:17:17 ]BAB1 :28 [°C], 69.98 RH, 921.90 mbar
[ 08:17:27 ]BAB1 :28 [°C], 70.34 RH, 921.26 mbar
[ 08:17:27 ]DAD3 :27 [°C], 72.01 RH, 924.44 mbar
[ 08:17:27 ]CAC2 :28 [°C], 67.77 RH, 924.44 mbar
[ 08:17:32 ]DADE :31 [°C], 62.41 RH, 927.61 mbar
[ 08:17:32 ]DAD3 :27 [°C], 72.07 RH, 923.17 mbar
[ 08:17:32 ]CAC2 :28 [°C], 68.12 RH, 924.44 mbar
[ 08:17:42 ]BAB1 :28 [°C], 70.45 RH, 922.53 mbar
[ 08:17:42 ]CAC2 :28 [°C], 68.46 RH, 924.44 mbar
[ 08:17:42 ]CAC2 :28 [°C], 68.46 RH, 923.80 mbar
[ 08:17:42 ]DAD3 :27 [°C], 72.30 RH, 923.80 mbar
[ 08:17:42 ]DADE :31 [°C], 62.18 RH, 921.90 mbar
[ 08:17:47 ]BAB1 :28 [°C], 70.51 RH, 922.53 mbar
[ 08:17:47 ]DAD3 :27 [°C], 72.43 RH, 925.07 mbar
[ 08:17:47 ]CAC2 :28 [°C], 68.50 RH, 923.17 mbar
[ 08:17:47 ]CAC2 :28 [°C], 68.50 RH, 923.17 mbar
[ 08:17:57 ]CAC2 :28 [°C], 69.45 RH, 923.80 mbar
[ 08:17:57 ]DAD3 :28 [°C], 72.47 RH, 923.80 mbar
[ 08:17:57 ]CAC2 :28 [°C], 69.49 RH, 923.17 mbar
[ 08:17:57 ]DAD3 :28 [°C], 72.44 RH, 923.80 mbar
[ 08:17:58 ]DADE :31 [°C], 61.96 RH, 923.17 mbar
[ 08:17:58 ]BAB1 :28 [°C], 70.61 RH, 921.90 mbar
[ 08:18:17 ]DAD3 :27 [°C], 72.28 RH, 923.80 mbar
[ 08:18:17 ]BAB1 :28 [°C], 71.16 RH, 921.26 mbar
[ 08:18:18 ]DADE :31 [°C], 61.89 RH, 925.71 mbar
[ 08:18:18 ]CAC2 :27 [°C], 69.36 RH, 923.80 mbar
[ 08:18:22 ]CAC2 :28 [°C], 69.87 RH, 922.53 mbar
[ 08:18:22 ]BAB1 :28 [°C], 71.41 RH, 923.17 mbar
[ 08:18:23 ]BAB1 :28 [°C], 71.41 RH, 923.17 mbar
[ 08:18:23 ]DAD3 :28 [°C], 71.99 RH, 923.17 mbar
[ 08:18:23 ]DADE :31 [°C], 61.96 RH, 923.17 mbar
[ 08:18:27 ]DAD3 :28 [°C], 72.06 RH, 922.53 mbar
[ 08:18:27 ]DADE :31 [°C], 61.73 RH, 923.17 mbar
[ 08:18:28 ]BAB1 :28 [°C], 71.58 RH, 921.26 mbar
[ 08:18:28 ]CAC2 :28 [°C], 70.48 RH, 922.53 mbar
[ 08:18:43 ]DAD3 :28 [°C], 71.64 RH, 925.07 mbar
[ 08:18:43 ]BAB1 :27 [°C], 71.54 RH, 923.80 mbar
[ 08:18:43 ]DADE :31 [°C], 62.86 RH, 923.80 mbar
[ 08:18:43 ]CAC2 :27 [°C], 69.55 RH, 924.44 mbar
[ 08:18:48 ]DAD3 :28 [°C], 71.42 RH, 923.17 mbar
[ 08:18:48 ]BAB1 :27 [°C], 71.77 RH, 921.90 mbar
[ 08:18:48 ]CAC2 :27 [°C], 69.45 RH, 924.44 mbar
[ 08:18:48 ]DADE :31 [°C], 63.24 RH, 923.80 mbar
[ 08:18:53 ]DAD3 :27 [°C], 71.33 RH, 923.17 mbar
[ 08:18:53 ]DADE :31 [°C], 63.46 RH, 923.80 mbar
[ 08:18:53 ]CAC2 :27 [°C], 69.55 RH, 924.44 mbar
[ 08:19:03 ]DAD3 :27 [°C], 72.17 RH, 921.26 mbar
[ 08:19:03 ]CAC2 :27 [°C], 69.82 RH, 923.17 mbar
[ 08:19:03 ]BAB1 :27 [°C], 72.24 RH, 921.26 mbar
[ 08:19:03 ]DADE :30 [°C], 64.01 RH, 924.44 mbar
[ 08:19:08 ]DADE :30 [°C], 64.29 RH, 923.17 mbar
[ 08:19:08 ]DAD3 :27 [°C], 71.84 RH, 923.80 mbar
[ 08:19:08 ]CAC2 :27 [°C], 69.90 RH, 924.44 mbar
[ 08:19:18 ]CAC2 :27 [°C], 70.13 RH, 923.17 mbar
[ 08:19:18 ]DADE :30 [°C], 65.02 RH, 923.80 mbar
[ 08:19:18 ]BAB1 :27 [°C], 72.41 RH, 921.90 mbar
[ 08:19:18 ]DAD3 :27 [°C], 71.74 RH, 924.44 mbar
[ 08:19:33 ]DAD3 :27 [°C], 72.25 RH, 923.17 mbar
[ 08:19:33 ]DADE :30 [°C], 65.19 RH, 922.53 mbar
[ 08:19:33 ]CAC2 :27 [°C], 70.21 RH, 923.80 mbar
[ 08:19:33 ]BAB1 :27 [°C], 72.84 RH, 921.90 mbar
[ 08:19:38 ]DAD3 :27 [°C], 72.55 RH, 923.80 mbar
[ 08:19:38 ]BAB1 :27 [°C], 72.87 RH, 923.17 mbar
[ 08:19:38 ]DADE :30 [°C], 65.45 RH, 922.53 mbar
[ 08:19:38 ]CAC2 :27 [°C], 69.99 RH, 922.53 mbar
[ 08:19:38 ]DADE :30 [°C], 65.45 RH, 923.80 mbar
[ 08:19:38 ]CAC2 :27 [°C], 69.95 RH, 923.80 mbar
[ 08:19:48 ]DAD3 :27 [°C], 72.19 RH, 924.44 mbar
[ 08:19:48 ]CAC2 :27 [°C], 70.96 RH, 924.44 mbar
[ 08:19:48 ]DADE :30 [°C], 65.88 RH, 922.53 mbar
[ 08:19:53 ]DAD3 :27 [°C], 72.29 RH, 923.80 mbar
[ 08:19:53 ]CAC2 :27 [°C], 70.65 RH, 924.44 mbar
[ 08:19:53 ]DADE :29 [°C], 65.70 RH, 924.44 mbar
[ 08:19:53 ]DAD3 :27 [°C], 72.32 RH, 923.17 mbar
[ 08:19:53 ]CAC2 :27 [°C], 70.60 RH, 924.44 mbar
[ 08:19:53 ]DAD3 :27 [°C], 72.32 RH, 922.53 mbar
[ 08:19:53 ]BAB1 :27 [°C], 73.06 RH, 921.26 mbar
[ 08:19:58 ]DAD3 :27 [°C], 72.55 RH, 922.53 mbar
[ 08:19:58 ]CAC2 :27 [°C], 70.68 RH, 925.07 mbar
[ 08:19:58 ]BAB1 :27 [°C], 73.23 RH, 923.80 mbar
[ 08:20:13 ]CAC2 :27 [°C], 71.63 RH, 924.44 mbar
[ 08:20:13 ]DAD3 :27 [°C], 72.75 RH, 924.44 mbar
[ 08:20:13 ]BAB1 :27 [°C], 73.61 RH, 922.53 mbar
[ 08:20:13 ]DADE :29 [°C], 66.75 RH, 923.17 mbar
[ 08:20:18 ]DADE :29 [°C], 67.03 RH, 921.90 mbar
[ 08:20:18 ]DAD3 :27 [°C], 72.70 RH, 922.53 mbar
[ 08:20:18 ]DADE :29 [°C], 67.06 RH, 922.53 mbar
[ 08:20:18 ]CAC2 :27 [°C], 71.55 RH, 924.44 mbar
[ 08:20:19 ]BAB1 :27 [°C], 73.61 RH, 923.80 mbar
[ 08:20:19 ]BAB1 :27 [°C], 73.61 RH, 922.53 mbar
[ 08:20:23 ]CAC2 :27 [°C], 71.28 RH, 925.71 mbar
[ 08:20:23 ]DAD3 :27 [°C], 72.54 RH, 925.07 mbar
[ 08:20:33 ]DAD3 :28 [°C], 72.09 RH, 923.80 mbar
[ 08:20:33 ]DADE :29 [°C], 67.43 RH, 923.17 mbar
[ 08:20:33 ]CAC2 :27 [°C], 71.62 RH, 925.07 mbar
[ 08:20:43 ]CAC2 :28 [°C], 71.37 RH, 925.71 mbar
[ 08:20:43 ]DAD3 :28 [°C], 71.83 RH, 922.53 mbar
[ 08:20:43 ]DAD3 :28 [°C], 71.87 RH, 924.44 mbar
[ 08:20:43 ]BAB1 :27 [°C], 74.10 RH, 922.53 mbar
[ 08:20:48 ]DAD3 :28 [°C], 71.71 RH, 922.53 mbar
[ 08:20:48 ]BAB1 :27 [°C], 74.27 RH, 923.17 mbar
[ 08:20:48 ]CAC2 :28 [°C], 70.52 RH, 923.17 mbar
[ 08:20:58 ]CAC2 :28 [°C], 69.79 RH, 923.17 mbar
[ 08:20:58 ]DAD3 :28 [°C], 71.77 RH, 923.17 mbar
[ 08:20:58 ]DAD3 :28 [°C], 71.77 RH, 924.44 mbar
[ 08:20:58 ]BAB1 :27 [°C], 74.18 RH, 923.80 mbar
[ 08:20:59 ]DADE :29 [°C], 66.26 RH, 923.80 mbar
[ 08:21:08 ]DAD3 :28 [°C], 71.59 RH, 923.17 mbar
[ 08:21:09 ]DADE :29 [°C], 65.72 RH, 924.44 mbar
[ 08:21:09 ]CAC2 :28 [°C], 69.68 RH, 923.80 mbar
[ 08:21:09 ]BAB1 :27 [°C], 73.96 RH, 922.53 mbar
[ 08:21:18 ]CAC2 :28 [°C], 70.58 RH, 923.17 mbar
[ 08:21:18 ]DADE :29 [°C], 65.99 RH, 925.07 mbar
[ 08:21:18 ]DAD3 :28 [°C], 70.79 RH, 924.44 mbar
[ 08:21:23 ]DAD3 :28 [°C], 70.79 RH, 923.80 mbar
[ 08:21:23 ]DADE :29 [°C], 66.11 RH, 922.53 mbar
[ 08:21:23 ]CAC2 :28 [°C], 70.61 RH, 923.80 mbar
[ 08:21:24 ]BAB1 :27 [°C], 73.92 RH, 922.53 mbar
[ 08:21:28 ]CAC2 :28 [°C], 70.39 RH, 925.07 mbar
[ 08:21:28 ]CAC2 :28 [°C], 70.39 RH, 925.07 mbar
[ 08:21:29 ]DAD3 :28 [°C], 70.93 RH, 924.44 mbar
[ 08:21:29 ]BAB1 :27 [°C], 73.72 RH, 922.53 mbar
[ 08:21:29 ]DADE :29 [°C], 66.21 RH, 923.80 mbar
[ 08:21:33 ]DAD3 :28 [°C], 70.57 RH, 923.80 mbar
[ 08:21:33 ]DADE :29 [°C], 66.11 RH, 924.44 mbar
[ 08:21:34 ]CAC2 :28 [°C], 70.32 RH, 924.44 mbar
[ 08:21:34 ]BAB1 :27 [°C], 73.24 RH, 921.26 mbar
[ 08:21:38 ]DAD3 :28 [°C], 69.96 RH, 923.80 mbar
[ 08:21:39 ]DADE :29 [°C], 66.13 RH, 923.17 mbar
[ 08:21:39 ]CAC2 :28 [°C], 70.45 RH, 924.44 mbar
[ 08:21:39 ]BAB1 :27 [°C], 73.35 RH, 921.26 mbar
[ 08:21:59 ]DAD3 :28 [°C], 68.17 RH, 922.53 mbar
[ 08:21:59 ]DADE :29 [°C], 66.64 RH, 923.17 mbar
[ 08:21:59 ]DAD3 :28 [°C], 68.17 RH, 923.17 mbar
[ 08:21:59 ]BAB1 :27 [°C], 73.54 RH, 923.80 mbar
[ 08:21:59 ]CAC2 :28 [°C], 69.43 RH, 923.80 mbar
[ 08:22:09 ]DADE :29 [°C], 65.72 RH, 924.44 mbar
[ 08:22:09 ]CAC2 :28 [°C], 68.21 RH, 922.53 mbar
[ 08:22:09 ]BAB1 :27 [°C], 73.51 RH, 922.53 mbar
[ 08:22:09 ]DAD3 :28 [°C], 67.97 RH, 923.17 mbar
[ 08:22:14 ]DAD3 :28 [°C], 68.07 RH, 923.80 mbar
[ 08:22:14 ]CAC2 :29 [°C], 67.28 RH, 923.80 mbar
[ 08:22:14 ]DADE :29 [°C], 65.82 RH, 923.80 mbar
[ 08:22:24 ]DAD3 :28 [°C], 67.95 RH, 923.17 mbar
[ 08:22:24 ]CAC2 :28 [°C], 67.92 RH, 923.80 mbar
[ 08:22:24 ]BAB1 :27 [°C], 73.45 RH, 922.53 mbar
[ 08:22:29 ]DAD3 :28 [°C], 67.65 RH, 922.53 mbar
[ 08:22:29 ]CAC2 :28 [°C], 67.72 RH, 923.80 mbar
[ 08:22:29 ]BAB1 :27 [°C], 73.56 RH, 922.53 mbar
[ 08:22:34 ]DAD3 :28 [°C], 67.53 RH, 923.17 mbar
[ 08:22:34 ]BAB1 :27 [°C], 73.59 RH, 921.26 mbar
[ 08:22:34 ]CAC2 :29 [°C], 66.70 RH, 924.44 mbar
[ 08:23:04 ]DAD3 :28 [°C], 66.92 RH, 922.53 mbar
[ 08:23:04 ]CAC2 :28 [°C], 66.14 RH, 922.53 mbar
[ 08:23:09 ]CAC2 :29 [°C], 66.14 RH, 923.80 mbar
[ 08:23:09 ]DAD3 :28 [°C], 66.92 RH, 924.44 mbar
[ 08:23:09 ]BAB1 :26 [°C], 73.91 RH, 921.90 mbar
[ 08:23:09 ]CAC2 :29 [°C], 66.14 RH, 924.44 mbar
[ 08:23:19 ]DAD3 :29 [°C], 67.39 RH, 923.80 mbar
[ 08:23:19 ]CAC2 :29 [°C], 65.32 RH, 923.80 mbar
[ 08:23:19 ]BAB1 :26 [°C], 74.05 RH, 921.90 mbar
[ 08:23:29 ]DAD3 :29 [°C], 67.61 RH, 923.17 mbar
[ 08:23:29 ]BAB1 :26 [°C], 74.15 RH, 923.17 mbar
[ 08:23:29 ]CAC2 :29 [°C], 66.18 RH, 922.53 mbar
[ 08:23:39 ]CAC2 :29 [°C], 65.11 RH, 924.44 mbar
[ 08:23:39 ]DAD3 :29 [°C], 67.32 RH, 923.17 mbar
[ 08:23:39 ]CAC2 :29 [°C], 65.11 RH, 923.80 mbar
[ 08:23:39 ]BAB1 :26 [°C], 74.65 RH, 923.80 mbar
[ 08:23:44 ]CAC2 :29 [°C], 64.98 RH, 922.53 mbar
[ 08:23:44 ]DAD3 :29 [°C], 67.00 RH, 923.80 mbar
[ 08:23:44 ]DAD3 :29 [°C], 66.97 RH, 923.17 mbar
[ 08:23:44 ]BAB1 :26 [°C], 74.92 RH, 921.90 mbar
[ 08:23:49 ]DAD3 :29 [°C], 67.03 RH, 921.90 mbar
[ 08:23:49 ]CAC2 :29 [°C], 65.34 RH, 922.53 mbar
[ 08:23:49 ]CAC2 :29 [°C], 65.34 RH, 923.80 mbar
[ 08:23:49 ]BAB1 :26 [°C], 74.99 RH, 924.44 mbar
[ 08:23:49 ]CAC2 :29 [°C], 65.31 RH, 924.44 mbar
[ 08:23:54 ]DAD3 :29 [°C], 67.07 RH, 922.53 mbar
[ 08:23:54 ]DADE :29 [°C], 66.54 RH, 923.17 mbar
[ 08:23:54 ]CAC2 :29 [°C], 65.40 RH, 923.80 mbar
[ 08:23:54 ]BAB1 :26 [°C], 75.29 RH, 923.17 mbar
[ 08:23:59 ]DAD3 :29 [°C], 67.07 RH, 922.53 mbar
[ 08:23:59 ]DADE :29 [°C], 65.98 RH, 924.44 mbar
[ 08:23:59 ]CAC2 :29 [°C], 65.49 RH, 923.80 mbar
[ 08:23:59 ]CAC2 :28 [°C], 65.49 RH, 923.80 mbar
[ 08:23:59 ]BAB1 :26 [°C], 75.80 RH, 921.26 mbar
[ 08:24:04 ]CAC2 :29 [°C], 65.97 RH, 922.53 mbar
[ 08:24:04 ]DADE :29 [°C], 65.49 RH, 923.17 mbar
[ 08:24:04 ]DAD3 :29 [°C], 66.85 RH, 924.44 mbar
[ 08:24:04 ]CAC2 :29 [°C], 66.03 RH, 922.53 mbar
[ 08:24:04 ]DAD3 :29 [°C], 66.85 RH, 923.80 mbar
[ 08:24:05 ]AAAA :29 [°C], 67.68 RH, 923.17 mbar
[ 08:24:05 ]AAAA :29 [°C], 67.68 RH, 923.17 mbar
[ 08:24:05 ]BAB1 :26 [°C], 76.16 RH, 922.53 mbar
[ 08:24:09 ]DAD3 :29 [°C], 66.82 RH, 922.53 mbar
[ 08:24:09 ]CAC2 :29 [°C], 67.01 RH, 923.17 mbar
[ 08:24:09 ]AAAA :29 [°C], 67.52 RH, 923.17 mbar
